NumeroChronique; DateDefaillance; TypeDefaillance; NombreAPUtouchees; Cause
25; 23/3/2038; Ind;1; HW
25; 26/3/2038; Ind;1; HW
25; 2/4/2038; Ind;1; HW
25; 26/7/2038; Ind;1; HW
25; 24/3/2040; Ind;1; HW
25; 16/5/2040; Ind;1; HW
26; 15/8/2026; Ind;1; HW
26; 20/10/2028; DCC NL;1; FH
26; 26/6/2029; DCC NL;1; FH
26; 15/4/2036; Ind;1; HW
26; 26/3/2037; Ind;1; HW
26; 26/4/2038; Ind;1; HW
26; 10/5/2038; Ind;1; HW
26; 18/9/2038; DCC NL;2; FH
26; 15/4/2039; Ind;1; HW
26; 27/5/2039; Ind;1; HW
26; 25/6/2039; Ind;1; HW
26; 11/10/2039; Ind;1; HW
26; 24/3/2040; Ind;1; HW
26; 25/3/2040; Ind;1; HW
26; 19/4/2040; Ind;1; HW
26; 10/8/2040; Ind;1; HW
27; 8/6/2022; DCC L;5; FH
27; 18/2/2026; DCC L;5; FH
27; 24/3/2030; DCC L;8; SW
27; 26/6/2030; DCC L;8; SW
27; 8/10/2031; Ind;1; HW
27; 1/1/2033; DCC L;4; FH
27; 8/5/2034; DCC L;5; HW
27; 18/3/2036; DCC NL;3; FH
27; 10/9/2036; Ind;1; HW
27; 23/9/2037; Ind;1; HW
27; 31/10/2037; Ind;1; HW
27; 10/6/2038; Ind;1; HW
27; 9/12/2038; Ind;1; HW
27; 17/6/2039; Ind;1; HW
28; 2/2/2017; DCC NL;1; FH
28; 23/3/2017; DCC NL;2; FH
28; 25/1/2018; DCC NL;2; HW
28; 27/3/2032; Ind;1; HW
28; 7/7/2035; Ind;1; HW
28; 28/9/2036; Ind;1; HW
28; 4/11/2036; Ind;1; HW
28; 27/2/2037; Ind;1; HW
28; 14/12/2038; Ind;1; HW
28; 11/6/2039; Ind;1; HW
28; 19/9/2039; Ind;1; HW
28; 18/11/2039; Ind;1; HW
28; 17/6/2040; DCC NL;2; FH
28; 23/6/2040; Ind;1; HW
28; 25/8/2040; Ind;1; HW
29; 4/4/2032; Ind;1; HW
29; 28/6/2034; Ind;1; HW
29; 27/8/2034; Ind;1; HW
29; 11/11/2034; Ind;1; HW
29; 4/5/2038; Ind;1; HW
29; 7/5/2038; Ind;1; HW
29; 23/6/2038; Ind;1; HW
29; 27/7/2038; Ind;1; HW
29; 5/10/2038; Ind;1; HW
29; 26/10/2040; Ind;1; HW
30; 27/6/2023; DCC NL;1; FH
30; 28/11/2029; DCC NL;1; FH
30; 22/2/2030; Ind;1; HW
30; 29/6/2030; Ind;1; HW
30; 24/10/2033; Ind;1; HW
30; 6/7/2034; Ind;1; HW
30; 25/11/2034; Ind;1; HW
30; 7/4/2037; Ind;1; HW
30; 11/5/2037; Ind;1; HW
30; 20/6/2038; Ind;1; HW
30; 18/7/2038; Ind;1; HW
